0,1,2,3
AK-501,Alaska,alaskabalanceofstate,BAL. OF STATE/STATEWIDE
AL-500,Alabama,shelby,shelby
AL-500,Alabama,st.clair,st.clair
AL-500,Alabama,jefferson,jefferson
AL-500,Alabama,birmingham,jefferson
AL-501,Alabama,baldwin,baldwin
AL-501,Alabama,mobile,mobile
AL-502,Alabama,florence,lauderdale
AL-503,Alabama,huntsville,madison
AL-504,Alabama,montgomery,montgomery
AL-505,Alabama,gadsden,etowah
AL-506,Alabama,tuscaloosa,tuscaloosa
AL-507,Alabama,alabamabalanceofstate,BAL. OF STATE/STATEWIDE
AR-500,Arkansas,littlerock,pulaski
AR-501,Arkansas,fayetteville,washington
AR-503,Arkansas,arkansasbalanceofstate,BAL. OF STATE/STATEWIDE
AR-508,Arkansas,fortsmith,sebastian
AZ-500,Arizona,arizonabalanceofstate,BAL. OF STATE/STATEWIDE
AZ-501,Arizona,pima,pima
AZ-501,Arizona,tucson,pima
AZ-502,Arizona,maricopa,maricopa
AZ-502,Arizona,mesa,maricopa
AZ-502,Arizona,phoenix,maricopa
CA-500,California,santaclara,santaclara
CA-500,California,sanjose,losangeles
CA-501,California,sanfrancisco,sanfrancisco
CA-502,California,alameda,alameda
CA-502,California,berkeley,alameda
CA-502,California,oakland,alameda
CA-503,California,sacramento,sacramento
CA-504,California,sonoma,sonoma
CA-504,California,petaluma,sonoma
CA-504,California,santarosa,ventura
CA-505,California,contracosta,contracosta
CA-505,California,richmond,contracosta
CA-506,California,sanbenito,sanbenito
CA-506,California,monterey,monterey
CA-506,California,salinas,monterey
CA-507,California,marin,marin
CA-508,California,santacruz,santacruz
CA-508,California,watsonville,santacruz
CA-509,California,mendocino,mendocino
CA-510,California,stanislaus,stanislaus
CA-510,California,modesto,stanislaus
CA-510,California,turlock,stanislaus
CA-511,California,sanjoaquin,sanjoaquin
CA-511,California,stockton,sanjoaquin
CA-512,California,sanmateo,sanmateo
CA-512,California,daly,sanmateo
CA-513,California,tulare,tulare
CA-513,California,kings,kings
CA-513,California,visalia,tulare
CA-514,California,madera,madera
CA-514,California,fresno,fresno
CA-515,California,placer,placer
CA-515,California,rocklin,placer
CA-515,California,roseville,placer
CA-516,California,sierra,sierra
CA-516,California,modoc,modoc
CA-516,California,delnorte,delnorte
CA-516,California,plumas,plumas
CA-516,California,lassen,lassen
CA-516,California,redding,shasta
CA-517,California,napa,napa
CA-518,California,solano,solano
CA-518,California,vallejo,solano
CA-519,California,butte,butte
CA-519,California,paradise,butte
CA-519,California,chico,butte
CA-520,California,merced,merced
CA-521,California,yolo,yolo
CA-521,California,woodland,yolo
CA-521,California,davis,yolo
CA-522,California,humboldt,humboldt
CA-523,California,trinity,trinity
CA-523,California,colusa,colusa
CA-524,California,sutter,sutter
CA-524,California,yuba,yuba
CA-525,California,eldorado,eldorado
CA-526,California,tuolumne,tuolumne
CA-526,California,mariposa,mariposa
CA-526,California,calaveras,calaveras
CA-526,California,amador,amador
CA-527,California,tehama,tehama
CA-529,California,lake,lake
CA-530,California,mono,mono
CA-530,California,inyo,inyo
CA-530,California,alpine,alpine
CA-531,California,nevada,nevada
CA-600,California,losangeles,losangeles
CA-601,California,sandiego,sandiego
CA-602,California,orange,orange
CA-602,California,anaheim,orange
CA-602,California,santaana,orange
CA-603,California,santabarbara,santabarbara
CA-603,California,santamaria,santabarbara
CA-604,California,kern,kern
CA-604,California,bakersfield,kern
CA-606,California,long,losangeles
CA-607,California,pasadena,losangeles
CA-608,California,riverside,riverside
CA-609,California,sanbernardino,sanbernardino
CA-611,California,ventura,ventura
CA-611,California,sanbuenaventura,ventura
CA-611,California,oxnard,ventura
CA-612,California,glendale,losangeles
CA-613,California,imperial,imperial
CA-614,California,sanluisobispo,sanluisobispo
CO-500,Colorado,coloradobalanceofstate,BAL. OF STATE/STATEWIDE
CO-503,Colorado,denver,denver
CO-504,Colorado,elpaso,elpaso
CO-504,Colorado,coloradosprings,elpaso
CO-505,Colorado,weld,weld
CO-505,Colorado,larimer,larimer
