CoC Code,State Name,CoC Name,County Name,Homeless Count,Avg. Rent Price,Poverty Count,Poverty Pct.,Unemployed Count,Unemployed Pct.,Education Count No HS Diploma,Education Count No College
AK-501,Alaska,alaskabalanceofstate,aleutians,826,none,625,18,505,10,61,2
AK-501,Alaska,alaskabalanceofstate,anchorage,826,1451.281058,26920,9,none,none,11299,45842
AK-501,Alaska,alaskabalanceofstate,bethel,826,none,4496,24,900,13,1808,4674
AK-501,Alaska,alaskabalanceofstate,bristolbay,826,none,93,11,25,5,34,194
AK-501,Alaska,alaskabalanceofstate,denali,826,none,115,7,85,10,27,504
AK-501,Alaska,alaskabalanceofstate,dillingham,826,none,1033,21,140,8,388,1151
AK-501,Alaska,alaskabalanceofstate,fairbanksstar,826,1448.18478,7247,7,2326,5,3393,15698
AK-501,Alaska,alaskabalanceofstate,haines,826,none,223,10,116,11,33,564
AK-501,Alaska,alaskabalanceofstate,hoonah-angoon,826,none,395,17,107,9,119,694
AK-501,Alaska,alaskabalanceofstate,juneau,826,none,2378,7,none,none,1049,4791
AK-501,Alaska,alaskabalanceofstate,kenai,826,none,6729,11,2030,7,2497,12743
AK-501,Alaska,alaskabalanceofstate,ketchikangateway,826,none,1529,11,484,7,591,2829
AK-501,Alaska,alaskabalanceofstate,kodiakisland,826,none,1072,8,394,6,847,2508
AK-501,Alaska,alaskabalanceofstate,kusilvak,826,none,2534,30,461,19,833,2266
AK-501,Alaska,alaskabalanceofstate,lake,826,none,290,20,57,8,68,258
AK-501,Alaska,alaskabalanceofstate,matanuska-susitna,826,none,11453,10,3395,6,4384,23039
AK-501,Alaska,alaskabalanceofstate,nome,826,none,1920,19,393,9,695,2451
AK-501,Alaska,alaskabalanceofstate,slope,826,none,1354,12,189,6,865,2904
AK-501,Alaska,alaskabalanceofstate,arctic,826,none,1560,20,329,11,673,2020
AK-501,Alaska,alaskabalanceofstate,petersburg,826,none,269,8,113,7,216,788
AK-501,Alaska,alaskabalanceofstate,princeofwales-hyder,826,none,859,15,228,8,319,1588
AK-501,Alaska,alaskabalanceofstate,sitka,826,none,717,8,none,none,316,1546
AK-501,Alaska,alaskabalanceofstate,skagway,826,none,69,6,87,13,101,356
