0, 1, 2
AL-502,Alabama,Northwest Alabama CoC
AL-503,Alabama,North Alabama CoC
AL-505,Alabama,Northeast Alabama CoC
AR-500,Arkansas,Central Arkansas CoC
AR-501,Arkansas,Northwest Arkansas CoC
AR-505,Arkansas,Southeast Arkansas CoC
IL-512,Illinois,Central Illinois CoC
IL-515,Illinois,South Central Illinois CoC
IL-518,Illinois,Northwestern Illinois CoC
IL-519,Illinois,West Central Illinois CoC
IL-520,Illinois,Southern Illinois CoC
LA-502,Louisiana,Northwest Louisiana CoC
LA-505,Louisiana,Northeast Louisiana CoC
LA-506,Louisiana,Southeast Louisiana CoC
LA-507,Louisiana,Central Louisiana CoC
MN-502,Minnesota,Southeast Minnesota CoC
MN-504,Minnesota,Northeast Minnesota CoC
MN-505,Minnesota,Central Minnesota CoC
MN-506,Minnesota,Northwest Minnesota CoC
MN-508,Minnesota,West Central Minnesota CoC
MN-511,Minnesota,Southwest Minnesota CoC
OK-500,Oklahoma,North Central Oklahoma CoC
OK-505,Oklahoma,Northeast Oklahoma CoC
OK-506,Oklahoma,Southwest Oklahoma Regional CoC
OK-507,Oklahoma,Southeastern Oklahoma Regional CoC
OR-503,Oregon,Central Oregon CoC
PA-509,Pennsylvania,Eastern Pennsylvania CoC
PA-601,Pennsylvania,Western Pennsylvania CoC
TN-500,Tennessee,Southeast Tennessee CoC
TN-503,Tennessee,Central Tennessee CoC
TN-507,Tennessee,West Tennessee CoC
VA-513,Virginia,Western Virginia CoC
