AK-500,Alaska,Anchorage CoC,,,,,,,
AK-501,Alaska,Alaska Balance of State CoC,,,,,,,
AL-500,Alabama,Birmingham,Jefferson,St. Clair,Shelby Counties CoC,,,,
AL-501,Alabama,Mobile City & County,Baldwin County CoC,,,,,,
AL-502,Alabama,Florence,Northwest Alabama CoC,,,,,,
AL-503,Alabama,Huntsville,North Alabama CoC,,,,,,
AL-504,Alabama,Montgomery City & County CoC,,,,,,,
AL-505,Alabama,Gadsden,Northeast Alabama CoC,,,,,,
AL-506,Alabama,Tuscaloosa City & County CoC,,,,,,,
AL-507,Alabama,Alabama Balance of State CoC,,,,,,,
AR-500,Arkansas,Little Rock,Central Arkansas CoC,,,,,,
AR-501,Arkansas,Fayetteville,Northwest Arkansas CoC,,,,,,
AR-503,Arkansas,Arkansas Balance of State CoC,,,,,,,
AR-505,Arkansas,Southeast Arkansas CoC,,,,,,,
AR-508,Arkansas,Fort Smith CoC,,,,,,,
AZ-500,Arizona,Arizona Balance of State CoC,,,,,,,
AZ-501,Arizona,Tucson,Pima County CoC,,,,,,
AZ-502,Arizona,Phoenix,Mesa,Maricopa County CoC,,,,,
CA-500,California,San Jose,Santa Clara City & County CoC,,,,,,
CA-501,California,San Francisco CoC,,,,,,,
CA-502,California,Oakland,Berkeley,Alameda County CoC,,,,,
CA-503,California,Sacramento City & County CoC,,,,,,,
CA-504,California,Santa Rosa,Petaluma,Sonoma County CoC,,,,,
CA-505,California,Richmond,Contra Costa County CoC,,,,,,
CA-506,California,Salinas,Monterey,San Benito Counties CoC,,,,,
CA-507,California,Marin County CoC,,,,,,,
CA-508,California,Watsonville,Santa Cruz City & County CoC,,,,,,
CA-509,California,Mendocino County CoC,,,,,,,
CA-510,California,Turlock,Modesto,Stanislaus County CoC,,,,,
CA-511,California,Stockton,San Joaquin County CoC,,,,,,
CA-512,California,Daly City,San Mateo County CoC,,,,,,
CA-513,California,Visalia,Kings,Tulare Counties CoC,,,,,
CA-514,California,Fresno City & County,Madera County CoC,,,,,,
CA-515,California,Roseville,Rocklin,Placer County,,,,,
CA-516,California,Redding,Shasta Siskiyou,Lassen,Plumas,Del Norte,Modoc,Sierra Counties CoC,
CA-517,California,Napa City & County CoC,,,,,,,
CA-518,California,Vallejo,Solano County CoC,,,,,,
CA-519,California,Chico,Paradise,Butte County CoC,,,,,
CA-520,California,Merced City & County CoC,,,,,,,
CA-521,California,Davis,Woodland,Yolo County CoC,,,,,
CA-522,California,Humboldt County CoC,,,,,,,
CA-523,California,Colusa,Glen,Trinity Counties CoC,,,,,
CA-524,California,Yuba City & County,Sutter County CoC,,,,,,
CA-525,California,El Dorado County CoC,,,,,,,
CA-526,California,Amador,Calaveras,Mariposa,Tuolumne Counties CoC,,,,
CA-527,California,Tehama County CoC,,,,,,,
CA-529,California,Lake County CoC,,,,,,,
CA-530,California,Alpine,Inyo,Mono Counties CoC,,,,,
CA-531,California,Nevada County CoC,,,,,,,
CA-600,California,Los Angeles City & County CoC,,,,,,,
CA-601,California,San Diego City and County CoC,,,,,,,
CA-602,California,Santa Ana,Anaheim,Orange County CoC,,,,,
CA-603,California,Santa Maria,Santa Barbara County CoC,,,,,,
CA-604,California,Bakersfield,Kern County CoC,,,,,,
CA-606,California,Long Beach CoC,,,,,,,
CA-607,California,Pasadena CoC,,,,,,,
CA-608,California,Riverside City & County CoC,,,,,,,
CA-609,California,San Bernardino City & County CoC,,,,,,,
CA-611,California,Oxnard,San Buenaventura,Ventura County CoC,,,,,
CA-612,California,Glendale CoC,,,,,,,
CA-613,California,Imperial County CoC,,,,,,,
CA-614,California,San Luis Obispo County CoC,,,,,,,
CO-500,Colorado,Colorado Balance of State CoC,,,,,,,
CO-503,Colorado,Metropolitan Denver CoC,,,,,,,
CO-504,Colorado,Colorado Springs,El Paso County CoC,,,,,,
CO-505,Colorado,Fort Collins,Greeley,Loveland,Larimer,Weld Counties CoC,,,
CT-503,Connecticut,Bridgeport,Stamford,Norwalk,Fairfield County CoC,,,,
CT-505,Connecticut,Connecticut Balance of State CoC,,,,,,,
DC-500,District of Columbia,District of Columbia CoC,,,,,,,
DE-500,Delaware,Delaware Statewide CoC,,,,,,,
FL-500,Florida,Sarasota,Bradenton,Manatee,Sarasota Counties CoC,,,,
FL-501,Florida,Tampa,Hillsborough County CoC,,,,,,
FL-502,Florida,St. Petersburg,Clearwater,Largo,Pinellas County CoC,,,,
FL-503,Florida,Lakeland,Winterhaven,Polk County CoC,,,,,
FL-504,Florida,Daytona Beach,Daytona,Volusia,Flagler Counties CoC,,,,
FL-505,Florida,Fort Walton Beach,Okaloosa,Walton Counties CoC,,,,,
FL-506,Florida,Tallahassee,Leon County CoC,,,,,,
FL-507,Florida,Orlando,Orange,Osceola,Seminole Counties CoC,,,,
FL-508,Florida,Gainesville,Alachua,Putnam Counties CoC,,,,,
FL-509,Florida,Fort Pierce,St. Lucie,Indian River,Martin Counties CoC,,,,
FL-510,Florida,Jacksonville-Duval,Clay Counties CoC,,,,,,
FL-511,Florida,Pensacola,Escambia,Santa Rosa Counties CoC,,,,,
FL-512,Florida,St. Johns County CoC,,,,,,,
FL-513,Florida,Palm Bay,Melbourne,Brevard County CoC,,,,,
FL-514,Florida,Ocala,Marion County CoC,,,,,,
FL-515,Florida,Panama City,Bay,Jackson Counties CoC,,,,,
FL-517,Florida,Hendry,Hardee,Highlands Counties CoC,,,,,
