CoC Code,State,Section of CoC
AK-501,Alaska,AlaskaBalanceofState
AL-500,Alabama,Birmingham
AL-500,Alabama,Jefferson
AL-500,Alabama,St.Clair
AL-500,Alabama,Shelby
AL-501,Alabama,Mobile
AL-501,Alabama,Baldwin
AL-502,Alabama,Florence
AL-503,Alabama,Huntsville
AL-504,Alabama,Montgomery
AL-505,Alabama,Gadsden
AL-506,Alabama,Tuscaloosa
AL-507,Alabama,AlabamaBalanceofState
AR-500,Arkansas,LittleRock
AR-501,Arkansas,Fayetteville
AR-503,Arkansas,ArkansasBalanceofState
AR-508,Arkansas,FortSmith
AZ-500,Arizona,ArizonaBalanceofState
AZ-501,Arizona,Tucson
AZ-501,Arizona,Pima
AZ-502,Arizona,Phoenix
AZ-502,Arizona,Mesa
AZ-502,Arizona,Maricopa
CA-500,California,SanJose
CA-500,California,SantaClara
CA-501,California,SanFrancisco
CA-502,California,Oakland
CA-502,California,Berkeley
CA-502,California,Alameda
CA-503,California,Sacramento
CA-504,California,SantaRosa
CA-504,California,Petaluma
CA-504,California,Sonoma
CA-505,California,Richmond
CA-505,California,ContraCosta
CA-506,California,Salinas
CA-506,California,Monterey
CA-506,California,SanBenito
CA-507,California,Marin
CA-508,California,Watsonville
CA-508,California,SantaCruz
CA-509,California,Mendocino
CA-510,California,Turlock
CA-510,California,Modesto
CA-510,California,Stanislaus
CA-511,California,Stockton
CA-511,California,SanJoaquin
CA-512,California,DalyCity
CA-512,California,SanMateo
CA-513,California,Visalia
CA-513,California,Kings
CA-513,California,Tulare
CA-514,California,Fresno
CA-514,California,Madera
CA-515,California,Roseville
CA-515,California,Rocklin
CA-515,California,Placer
CA-516,California,Redding
CA-516,California,ShastaSiskiyou
CA-516,California,Lassen
CA-516,California,Plumas
CA-516,California,DelNorte
CA-516,California,Modoc
CA-516,California,Sierra
CA-517,California,Napa
CA-518,California,Vallejo
CA-518,California,Solano
CA-519,California,Chico
CA-519,California,Paradise
CA-519,California,Butte
CA-520,California,Merced
CA-521,California,Davis
CA-521,California,Woodland
CA-521,California,Yolo
CA-522,California,Humboldt
CA-523,California,Colusa
CA-523,California,Glen
CA-523,California,Trinity
CA-524,California,Yuba
CA-524,California,Sutter
CA-525,California,ElDorado
CA-526,California,Amador
CA-526,California,Calaveras
CA-526,California,Mariposa
CA-526,California,Tuolumne
CA-527,California,Tehama
CA-529,California,Lake
CA-530,California,Alpine
CA-530,California,Inyo
CA-530,California,Mono
CA-531,California,Nevada
CA-600,California,LosAngeles
CA-601,California,SanDiegoCityand
CA-602,California,SantaAna
CA-602,California,Anaheim
CA-602,California,Orange
CA-603,California,SantaMaria
CA-603,California,SantaBarbara
CA-604,California,Bakersfield
CA-604,California,Kern
CA-606,California,LongBeach
CA-607,California,Pasadena
CA-608,California,Riverside
CA-609,California,SanBernardino
CA-611,California,Oxnard
CA-611,California,SanBuenaventura
CA-611,California,Ventura
CA-612,California,Glendale
CA-613,California,Imperial
CA-614,California,SanLuisObispo
CO-500,Colorado,ColoradoBalanceofState
CO-503,Colorado,MetropolitanDenver
CO-504,Colorado,ColoradoSprings
CO-504,Colorado,ElPaso
CO-505,Colorado,FortCollins
CO-505,Colorado,Greeley
CO-505,Colorado,Loveland
CO-505,Colorado,Larimer
CO-505,Colorado,Weld
CT-503,Connecticut,Bridgeport
CT-503,Connecticut,Stamford
CT-503,Connecticut,Norwalk
CT-503,Connecticut,Fairfield
CT-505,Connecticut,ConnecticutBalanceofState
DC-500,District of Columbia,DistrictofColumbia
DE-500,Delaware,DelawareStatewide
FL-500,Florida,Sarasota
FL-500,Florida,Bradenton
FL-500,Florida,Manatee
FL-500,Florida,Sarasota
FL-501,Florida,Tampa
FL-501,Florida,Hillsborough
FL-502,Florida,St.Petersburg
FL-502,Florida,Clearwater
FL-502,Florida,Largo
FL-502,Florida,Pinellas
FL-503,Florida,Lakeland
FL-503,Florida,Winterhaven
FL-503,Florida,Polk
FL-504,Florida,DaytonaBeach
FL-504,Florida,Daytona
FL-504,Florida,Volusia
FL-504,Florida,Flagler
FL-505,Florida,FortWaltonBeach
FL-505,Florida,Okaloosa
FL-505,Florida,Walton
FL-506,Florida,Tallahassee
FL-506,Florida,Leon
FL-507,Florida,Orlando
FL-507,Florida,Orange
FL-507,Florida,Osceola
FL-507,Florida,Seminole
FL-508,Florida,Gainesville
FL-508,Florida,Alachua
FL-508,Florida,Putnam
FL-509,Florida,FortPierce
FL-509,Florida,St.Lucie
FL-509,Florida,IndianRiver
FL-509,Florida,Martin
FL-510,Florida,Jacksonville-Duval
FL-510,Florida,Clay
FL-511,Florida,Pensacola
FL-511,Florida,Escambia
FL-511,Florida,SantaRosa
FL-512,Florida,St.Johns
FL-513,Florida,PalmBay
FL-513,Florida,Melbourne
FL-513,Florida,Brevard
FL-514,Florida,Ocala
FL-514,Florida,Marion
FL-515,Florida,PanamaCity
FL-515,Florida,Bay
FL-515,Florida,Jackson
FL-517,Florida,Hendry
FL-517,Florida,Hardee
FL-517,Florida,Highlands
FL-518,Florida,Columbia
FL-518,Florida,Hamilton
FL-518,Florida,Lafayette
FL-518,Florida,Suwannee
FL-519,Florida,Pasco
FL-520,Florida,Citrus
FL-520,Florida,Hernando
FL-520,Florida,Lake
FL-520,Florida,Sumter
FL-600,Florida,Miami-Dade
FL-601,Florida,FtLauderdale
FL-601,Florida,Broward
FL-602,Florida,PuntaGorda
FL-602,Florida,Charlotte
FL-603,Florida,FtMyers
FL-603,Florida,CapeCoral
FL-603,Florida,Lee
FL-604,Florida,Monroe
FL-605,Florida,WestPalmBeach
FL-605,Florida,PalmBeach
FL-606,Florida,Naples
FL-606,Florida,Collier
GA-500,Georgia,Atlanta
GA-501,Georgia,GeorgiaBalanceofState
GA-502,Georgia,Fulton
GA-503,Georgia,Athens-Clarke
GA-504,Georgia,Augusta-Richmond
GA-505,Georgia,Columbus-Muscogee
GA-505,Georgia,Russell
GA-506,Georgia,Marietta
GA-506,Georgia,Cobb
GA-507,Georgia,Savannah
GA-507,Georgia,Chatham
GA-508,Georgia,DeKalb
HI-500,Hawaii,HawaiiBalanceofState
HI-501,Hawaii,HonoluluCityand
IA-500,Iowa,SiouxCity
IA-500,Iowa,Dakota
IA-500,Iowa,Woodbury
IA-501,Iowa,IowaBalanceofState
IA-502,Iowa,DesMoines
IA-502,Iowa,Polk
ID-500,Idaho,Boise
ID-500,Idaho,Ada
ID-501,Idaho,IdahoBalanceofState
IL-500,Illinois,McHenry
IL-501,Illinois,Rockford
IL-501,Illinois,DeKalb
IL-501,Illinois,Winnebago
IL-501,Illinois,Boone
IL-502,Illinois,Waukegan
IL-502,Illinois,NorthChicago
IL-502,Illinois,Lake
IL-503,Illinois,Champaign
IL-503,Illinois,Urbana
IL-503,Illinois,Rantoul
IL-503,Illinois,Champaign
IL-504,Illinois,Madison
IL-506,Illinois,Joliet
IL-506,Illinois,Bolingbrook
IL-506,Illinois,Will
IL-507,Illinois,Peoria
IL-507,Illinois,Pekin
IL-507,Illinois,Fulton
IL-507,Illinois,Tazewell
IL-507,Illinois,Peoria
IL-507,Illinois,Woodford
IL-508,Illinois,EastSt.Louis
IL-508,Illinois,Belleville
IL-508,Illinois,St.Clair
IL-510,Illinois,Chicago
IL-511,Illinois,Cook
IL-512,Illinois,Bloomington
IL-513,Illinois,Springfield
IL-513,Illinois,Sangamon
IL-514,Illinois,DuPage
IL-516,Illinois,Decatur
IL-516,Illinois,Macon
IL-517,Illinois,Aurora
IL-517,Illinois,Elgin
IL-517,Illinois,Kane
IL-518,Illinois,RockIsland
IL-518,Illinois,Moline
IN-502,Indiana,IndianaBalanceofState
IN-503,Indiana,Indianapolis
KS-502,Kansas,Wichita
KS-502,Kansas,Sedgwick
KS-503,Kansas,Topeka
KS-503,Kansas,Shawnee
KS-505,Kansas,OverlandPark
KS-505,Kansas,Shawnee
KS-505,Kansas,Johnson
KS-507,Kansas,KansasBalanceofState
KY-500,Kentucky,KentuckyBalanceofState
KY-501,Kentucky,Louisville-Jefferson
KY-502,Kentucky,Lexington-Fayette
LA-500,Louisiana,Lafayette
LA-500,Louisiana,AcadianaRegional
LA-502,Louisiana,Shreveport
LA-502,Louisiana,Bossier
LA-503,Louisiana,NewOrleans
LA-503,Louisiana,JeffersonParish
LA-505,Louisiana,Monroe
LA-506,Louisiana,Slidell
LA-507,Louisiana,Alexandria
LA-509,Louisiana,LouisianaBalanceofState
MA-500,Massachusetts,Boston
MA-502,Massachusetts,Lynn
MA-503,Massachusetts,CapeCodIslands
MA-504,Massachusetts,Springfield
MA-504,Massachusetts,Hampden
MA-505,Massachusetts,NewBedford
MA-506,Massachusetts,Worcester
MA-507,Massachusetts,Pittsfield
MA-507,Massachusetts,Berkshire
MA-507,Massachusetts,Franklin
MA-507,Massachusetts,Hampshire
MA-509,Massachusetts,Cambridge
MA-510,Massachusetts,Gloucester
MA-510,Massachusetts,Haverhill
MA-510,Massachusetts,Salem
MA-510,Massachusetts,Essex
MA-511,Massachusetts,Quincy
MA-511,Massachusetts,Brockton
