,0,1,2
0,AK-501,Alaska,AlaskaBalanceofState
1,AL-500,Alabama,Birmingham
2,AL-500,Alabama,Jefferson
3,AL-500,Alabama,St.Clair
4,AL-500,Alabama,Shelby
5,AL-501,Alabama,Mobile
6,AL-501,Alabama,Baldwin
7,AL-502,Alabama,Florence
8,AL-503,Alabama,Huntsville
9,AL-504,Alabama,Montgomery
10,AL-505,Alabama,Gadsden
11,AL-506,Alabama,Tuscaloosa
12,AL-507,Alabama,AlabamaBalanceofState
13,AR-500,Arkansas,LittleRock
14,AR-501,Arkansas,Fayetteville
15,AR-503,Arkansas,ArkansasBalanceofState
16,AR-508,Arkansas,FortSmith
17,AZ-500,Arizona,ArizonaBalanceofState
18,AZ-501,Arizona,Tucson
19,AZ-501,Arizona,Pima
20,AZ-502,Arizona,Phoenix
21,AZ-502,Arizona,Mesa
22,AZ-502,Arizona,Maricopa
23,CA-500,California,SanJose
24,CA-500,California,SantaClara
25,CA-501,California,SanFrancisco
26,CA-502,California,Oakland
27,CA-502,California,Berkeley
28,CA-502,California,Alameda
29,CA-503,California,Sacramento
30,CA-504,California,SantaRosa
31,CA-504,California,Petaluma
32,CA-504,California,Sonoma
33,CA-505,California,Richmond
34,CA-505,California,ContraCosta
35,CA-506,California,Salinas
36,CA-506,California,Monterey
37,CA-506,California,SanBenito
38,CA-507,California,Marin
39,CA-508,California,Watsonville
40,CA-508,California,SantaCruz
41,CA-509,California,Mendocino
42,CA-510,California,Turlock
43,CA-510,California,Modesto
44,CA-510,California,Stanislaus
45,CA-511,California,Stockton
46,CA-511,California,SanJoaquin
47,CA-512,California,DalyCity
48,CA-512,California,SanMateo
49,CA-513,California,Visalia
50,CA-513,California,Kings
51,CA-513,California,Tulare
52,CA-514,California,Fresno
53,CA-514,California,Madera
54,CA-515,California,Roseville
55,CA-515,California,Rocklin
56,CA-515,California,Placer
57,CA-516,California,Redding
58,CA-516,California,ShastaSiskiyou
59,CA-516,California,Lassen
60,CA-516,California,Plumas
61,CA-516,California,DelNorte
62,CA-516,California,Modoc
63,CA-516,California,Sierra
64,CA-517,California,Napa
65,CA-518,California,Vallejo
66,CA-518,California,Solano
67,CA-519,California,Chico
68,CA-519,California,Paradise
69,CA-519,California,Butte
70,CA-520,California,Merced
71,CA-521,California,Davis
72,CA-521,California,Woodland
73,CA-521,California,Yolo
74,CA-522,California,Humboldt
75,CA-523,California,Colusa
76,CA-523,California,Glen
77,CA-523,California,Trinity
78,CA-524,California,Yuba
79,CA-524,California,Sutter
80,CA-525,California,ElDorado
81,CA-526,California,Amador
82,CA-526,California,Calaveras
83,CA-526,California,Mariposa
